EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100809) of UNITED KINGDOM, RADCLIFFE METEOROLOGICAL STATION OXFORD (STAID: 274)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   274,100809,18150101,-9999,    9
   274,100809,18150102,-9999,    9
   274,100809,18150103,-9999,    9
   274,100809,18150104,-9999,    9
   274,100809,18150105,-9999,    9
   274,100809,18150106,-9999,    9
   274,100809,18150107,-9999,    9
   274,100809,18150108,-9999,    9
   274,100809,18150109,-9999,    9
   274,100809,18150110,-9999,    9
   274,100809,18150111,-9999,    9
   274,100809,18150112,-9999,    9
   274,100809,18150113,-9999,    9
   274,100809,18150114,-9999,    9
   274,100809,18150115,-9999,    9
   274,100809,18150116,-9999,    9
   274,100809,18150117,-9999,    9
   274,100809,18150118,-9999,    9
   274,100809,18150119,-9999,    9
   274,100809,18150120,-9999,    9
   274,100809,18150121,-9999,    9
   274,100809,18150122,-9999,    9
   274,100809,18150123,-9999,    9
   274,100809,18150124,-9999,    9
   274,100809,18150125,-9999,    9
   274,100809,18150126,-9999,    9
   274,100809,18150127,-9999,    9
   274,100809,18150128,-9999,    9
   274,100809,18150129,-9999,    9
   274,100809,18150130,-9999,    9
   274,100809,18150131,-9999,    9
   274,100809,18150201,-9999,    9
   274,100809,18150202,-9999,    9
   274,100809,18150203,-9999,    9
   274,100809,18150204,-9999,    9
   274,100809,18150205,-9999,    9
   274,100809,18150206,-9999,    9
   274,100809,18150207,-9999,    9
   274,100809,18150208,-9999,    9
   274,100809,18150209,-9999,    9
   274,100809,18150210,-9999,    9
   274,100809,18150211,-9999,    9
   274,100809,18150212,-9999,    9
   274,100809,18150213,-9999,    9
   274,100809,18150214,-9999,    9
   274,100809,18150215,-9999,    9
   274,100809,18150216,-9999,    9
   274,100809,18150217,-9999,    9
   274,100809,18150218,-9999,    9
   274,100809,18150219,-9999,    9
   274,100809,18150220,-9999,    9
   274,100809,18150221,-9999,    9
   274,100809,18150222,-9999,    9
   274,100809,18150223,-9999,    9
   274,100809,18150224,-9999,    9
   274,100809,18150225,-9999,    9
   274,100809,18150226,-9999,    9
   274,100809,18150227,-9999,    9
   274,100809,18150228,-9999,    9
   274,100809,18150301,-9999,    9
   274,100809,18150302,-9999,    9
   274,100809,18150303,-9999,    9
   274,100809,18150304,-9999,    9
   274,100809,18150305,-9999,    9
   274,100809,18150306,-9999,    9
   274,100809,18150307,-9999,    9
   274,100809,18150308,-9999,    9
   274,100809,18150309,-9999,    9
   274,100809,18150310,-9999,    9
   274,100809,18150311,-9999,    9
   274,100809,18150312,-9999,    9
   274,100809,18150313,-9999,    9
   274,100809,18150314,-9999,    9
   274,100809,18150315,-9999,    9
   274,100809,18150316,-9999,    9
   274,100809,18150317,-9999,    9
   274,100809,18150318,-9999,    9
   274,100809,18150319,-9999,    9
   274,100809,18150320,-9999,    9
   274,100809,18150321,-9999,    9
   274,100809,18150322,-9999,    9
   274,100809,18150323,-9999,    9
   274,100809,18150324,-9999,    9
   274,100809,18150325,-9999,    9
   274,100809,18150326,-9999,    9
   274,100809,18150327,-9999,    9
   274,100809,18150328,-9999,    9
   274,100809,18150329,-9999,    9
   274,100809,18150330,-9999,    9
   274,100809,18150331,-9999,    9
   274,100809,18150401,-9999,    9
   274,100809,18150402,-9999,    9
   274,100809,18150403,-9999,    9
   274,100809,18150404,-9999,    9
   274,100809,18150405,-9999,    9
   274,100809,18150406,-9999,    9
   274,100809,18150407,-9999,    9
   274,100809,18150408,-9999,    9
   274,100809,18150409,-9999,    9
   274,100809,18150410,-9999,    9
   274,100809,18150411,-9999,    9
   274,100809,18150412,-9999,    9
