EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105648) of UNITED KINGDOM, CAMBRIDGE (B. GDNS) (STAID: 1639)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  1639,105648,20010101,    4,    0
  1639,105648,20010102,    6,    0
  1639,105648,20010103,   29,    0
  1639,105648,20010104,  184,    0
  1639,105648,20010105,    3,    0
  1639,105648,20010106,    0,    0
  1639,105648,20010107,    2,    0
  1639,105648,20010108,    0,    0
  1639,105648,20010109,    0,    0
  1639,105648,20010110,    0,    0
  1639,105648,20010111,    0,    0
  1639,105648,20010112,    0,    0
  1639,105648,20010113,    0,    0
  1639,105648,20010114,    0,    0
  1639,105648,20010115,    0,    0
  1639,105648,20010116,    0,    0
  1639,105648,20010117,    0,    0
  1639,105648,20010118,    0,    0
  1639,105648,20010119,    0,    0
  1639,105648,20010120,    0,    0
  1639,105648,20010121,   23,    0
  1639,105648,20010122,    6,    0
  1639,105648,20010123,   19,    0
  1639,105648,20010124,   28,    0
  1639,105648,20010125,    0,    0
  1639,105648,20010126,  161,    0
  1639,105648,20010127,    0,    0
  1639,105648,20010128,    0,    0
  1639,105648,20010129,    0,    0
  1639,105648,20010130,   24,    0
  1639,105648,20010131,    1,    0
  1639,105648,20010201,   49,    0
  1639,105648,20010202,   65,    0
  1639,105648,20010203,   81,    0
  1639,105648,20010204,  192,    0
  1639,105648,20010205,   30,    0
  1639,105648,20010206,   16,    0
