EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107962) of UNITED KINGDOM, YEOVILTON (STAID: 1812)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  1812,107962,19600101,-9999,    9
  1812,107962,19600102,-9999,    9
  1812,107962,19600103,-9999,    9
  1812,107962,19600104,-9999,    9
  1812,107962,19600105,-9999,    9
  1812,107962,19600106,-9999,    9
  1812,107962,19600107,-9999,    9
  1812,107962,19600108,-9999,    9
  1812,107962,19600109,-9999,    9
  1812,107962,19600110,-9999,    9
  1812,107962,19600111,-9999,    9
  1812,107962,19600112,-9999,    9
  1812,107962,19600113,-9999,    9
  1812,107962,19600114,-9999,    9
  1812,107962,19600115,-9999,    9
  1812,107962,19600116,-9999,    9
  1812,107962,19600117,-9999,    9
  1812,107962,19600118,-9999,    9
  1812,107962,19600119,-9999,    9
  1812,107962,19600120,-9999,    9
  1812,107962,19600121,-9999,    9
  1812,107962,19600122,-9999,    9
  1812,107962,19600123,-9999,    9
  1812,107962,19600124,-9999,    9
  1812,107962,19600125,-9999,    9
  1812,107962,19600126,-9999,    9
  1812,107962,19600127,-9999,    9
  1812,107962,19600128,-9999,    9
  1812,107962,19600129,-9999,    9
  1812,107962,19600130,-9999,    9
  1812,107962,19600131,-9999,    9
  1812,107962,19600201,-9999,    9
  1812,107962,19600202,-9999,    9
  1812,107962,19600203,-9999,    9
  1812,107962,19600204,-9999,    9
  1812,107962,19600205,-9999,    9
  1812,107962,19600206,-9999,    9
