EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156852) of UNITED KINGDOM, DURHAM (STAID: 461)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   461,156852,18800101,    0,    0
   461,156852,18800102,    9,    0
   461,156852,18800103,    0,    0
   461,156852,18800104,    0,    0
   461,156852,18800105,    0,    0
   461,156852,18800106,    0,    0
   461,156852,18800107,    4,    0
   461,156852,18800108,    0,    0
   461,156852,18800109,    0,    0
   461,156852,18800110,    0,    0
   461,156852,18800111,    0,    0
   461,156852,18800112,    0,    0
   461,156852,18800113,    0,    0
   461,156852,18800114,    0,    0
   461,156852,18800115,   43,    0
   461,156852,18800116,   61,    0
   461,156852,18800117,    0,    0
   461,156852,18800118,   18,    0
   461,156852,18800119,    0,    0
   461,156852,18800120,    0,    0
   461,156852,18800121,    0,    0
   461,156852,18800122,    0,    0
   461,156852,18800123,    0,    0
   461,156852,18800124,    0,    0
   461,156852,18800125,    0,    0
   461,156852,18800126,    0,    0
   461,156852,18800127,    0,    0
   461,156852,18800128,    0,    0
   461,156852,18800129,    0,    0
   461,156852,18800130,    0,    0
   461,156852,18800131,    0,    0
   461,156852,18800201,    0,    0
   461,156852,18800202,    0,    0
   461,156852,18800203,    0,    0
   461,156852,18800204,    0,    0
   461,156852,18800205,    0,    0
   461,156852,18800206,    0,    0
   461,156852,18800207,   58,    0
   461,156852,18800208,    7,    0
   461,156852,18800209,   51,    0
   461,156852,18800210,    0,    0
   461,156852,18800211,    0,    0
   461,156852,18800212,    0,    0
   461,156852,18800213,   16,    0
   461,156852,18800214,    5,    0
   461,156852,18800215,   43,    0
   461,156852,18800216,   58,    0
   461,156852,18800217,    0,    0
   461,156852,18800218,  109,    0
   461,156852,18800219,   25,    0
   461,156852,18800220,    0,    0
   461,156852,18800221,   38,    0
   461,156852,18800222,   26,    0
   461,156852,18800223,    0,    0
   461,156852,18800224,    0,    0
   461,156852,18800225,    0,    0
   461,156852,18800226,    5,    0
   461,156852,18800227,    0,    0
   461,156852,18800228,    2,    0
   461,156852,18800229,    0,    0
   461,156852,18800301,   13,    0
   461,156852,18800302,   18,    0
   461,156852,18800303,    0,    0
   461,156852,18800304,   55,    0
   461,156852,18800305,    3,    0
   461,156852,18800306,    0,    0
   461,156852,18800307,    0,    0
   461,156852,18800308,    0,    0
   461,156852,18800309,   25,    0
   461,156852,18800310,   12,    0
   461,156852,18800311,    0,    0
   461,156852,18800312,   51,    0
   461,156852,18800313,    0,    0
   461,156852,18800314,    0,    0
   461,156852,18800315,    6,    0
   461,156852,18800316,    0,    0
   461,156852,18800317,    0,    0
   461,156852,18800318,    0,    0
   461,156852,18800319,    0,    0
   461,156852,18800320,    0,    0
   461,156852,18800321,    0,    0
   461,156852,18800322,    0,    0
   461,156852,18800323,    0,    0
   461,156852,18800324,    0,    0
   461,156852,18800325,    0,    0
   461,156852,18800326,    0,    0
   461,156852,18800327,    0,    0
   461,156852,18800328,    0,    0
   461,156852,18800329,    5,    0
   461,156852,18800330,    0,    0
   461,156852,18800331,  137,    0
   461,156852,18800401,    8,    0
   461,156852,18800402,    8,    0
   461,156852,18800403,   55,    0
   461,156852,18800404,    8,    0
   461,156852,18800405,    0,    0
   461,156852,18800406,   17,    0
   461,156852,18800407,   61,    0
   461,156852,18800408,   13,    0
   461,156852,18800409,    0,    0
   461,156852,18800410,    5,    0
   461,156852,18800411,    0,    0
   461,156852,18800412,   72,    0
   461,156852,18800413,   82,    0
   461,156852,18800414,   24,    0
   461,156852,18800415,   43,    0
   461,156852,18800416,   14,    0
   461,156852,18800417,    0,    0
   461,156852,18800418,    0,    0
   461,156852,18800419,    0,    0
   461,156852,18800420,    0,    0
   461,156852,18800421,    0,    0
   461,156852,18800422,    0,    0
   461,156852,18800423,    0,    0
   461,156852,18800424,    0,    0
   461,156852,18800425,   93,    0
   461,156852,18800426,    7,    0
   461,156852,18800427,    0,    0
   461,156852,18800428,    0,    0
   461,156852,18800429,    5,    0
   461,156852,18800430,    0,    0
   461,156852,18800501,    0,    0
   461,156852,18800502,    0,    0
   461,156852,18800503,    0,    0
   461,156852,18800504,    0,    0
   461,156852,18800505,    0,    0
   461,156852,18800506,    0,    0
   461,156852,18800507,    0,    0
   461,156852,18800508,    0,    0
   461,156852,18800509,   65,    0
   461,156852,18800510,    5,    0
   461,156852,18800511,   35,    0
   461,156852,18800512,    0,    0
   461,156852,18800513,    0,    0
   461,156852,18800514,    0,    0
   461,156852,18800515,    0,    0
   461,156852,18800516,    0,    0
   461,156852,18800517,    0,    0
   461,156852,18800518,    5,    0
   461,156852,18800519,    0,    0
   461,156852,18800520,    0,    0
   461,156852,18800521,    0,    0
   461,156852,18800522,   44,    0
   461,156852,18800523,    0,    0
   461,156852,18800524,    0,    0
   461,156852,18800525,    0,    0
   461,156852,18800526,  185,    0
   461,156852,18800527,    0,    0
   461,156852,18800528,    6,    0
   461,156852,18800529,    0,    0
   461,156852,18800530,   36,    0
   461,156852,18800531,    0,    0
   461,156852,18800601,    0,    0
   461,156852,18800602,   22,    0
   461,156852,18800603,   13,    0
   461,156852,18800604,    3,    0
   461,156852,18800605,    8,    0
   461,156852,18800606,   46,    0
   461,156852,18800607,   31,    0
   461,156852,18800608,   10,    0
   461,156852,18800609,  168,    0
   461,156852,18800610,    0,    0
   461,156852,18800611,    0,    0
   461,156852,18800612,    0,    0
   461,156852,18800613,    2,    0
   461,156852,18800614,    0,    0
   461,156852,18800615,  234,    0
   461,156852,18800616,   18,    0
   461,156852,18800617,    0,    0
   461,156852,18800618,    0,    0
   461,156852,18800619,   63,    0
   461,156852,18800620,    0,    0
   461,156852,18800621,    0,    0
   461,156852,18800622,   26,    0
   461,156852,18800623,    3,    0
   461,156852,18800624,    0,    0
   461,156852,18800625,    0,    0
   461,156852,18800626,   18,    0
   461,156852,18800627,    0,    0
   461,156852,18800628,    0,    0
   461,156852,18800629,    0,    0
   461,156852,18800630,    0,    0
   461,156852,18800701,    0,    0
   461,156852,18800702,    0,    0
   461,156852,18800703,   12,    0
   461,156852,18800704,    0,    0
   461,156852,18800705,   13,    0
   461,156852,18800706,   25,    0
   461,156852,18800707,    0,    0
   461,156852,18800708,   56,    0
   461,156852,18800709,    5,    0
   461,156852,18800710,   21,    0
   461,156852,18800711,    0,    0
   461,156852,18800712,  160,    0
   461,156852,18800713,  132,    0
   461,156852,18800714,   58,    0
   461,156852,18800715,   74,    0
   461,156852,18800716,    0,    0
   461,156852,18800717,   49,    0
   461,156852,18800718,  100,    0
   461,156852,18800719,   49,    0
   461,156852,18800720,    0,    0
   461,156852,18800721,    0,    0
   461,156852,18800722,    0,    0
   461,156852,18800723,    9,    0
   461,156852,18800724,   17,    0
   461,156852,18800725,   15,    0
   461,156852,18800726,   91,    0
   461,156852,18800727,  116,    0
   461,156852,18800728,   58,    0
   461,156852,18800729,    0,    0
   461,156852,18800730,    0,    0
   461,156852,18800731,    0,    0
   461,156852,18800801,    0,    0
   461,156852,18800802,   30,    0
