EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100922) of UNITED KINGDOM, RADCLIFFE METEOROLOGICAL STATION OXFORD (STAID: 274)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
   274,100922,18141201,-9999,    9
   274,100922,18141202,-9999,    9
   274,100922,18141203,-9999,    9
   274,100922,18141204,-9999,    9
   274,100922,18141205,-9999,    9
   274,100922,18141206,-9999,    9
   274,100922,18141207,-9999,    9
   274,100922,18141208,-9999,    9
   274,100922,18141209,-9999,    9
   274,100922,18141210,-9999,    9
   274,100922,18141211,-9999,    9
   274,100922,18141212,-9999,    9
   274,100922,18141213,-9999,    9
   274,100922,18141214,-9999,    9
   274,100922,18141215,-9999,    9
   274,100922,18141216,-9999,    9
   274,100922,18141217,-9999,    9
   274,100922,18141218,-9999,    9
   274,100922,18141219,-9999,    9
   274,100922,18141220,-9999,    9
   274,100922,18141221,-9999,    9
   274,100922,18141222,-9999,    9
   274,100922,18141223,-9999,    9
   274,100922,18141224,-9999,    9
   274,100922,18141225,-9999,    9
   274,100922,18141226,-9999,    9
   274,100922,18141227,-9999,    9
   274,100922,18141228,-9999,    9
   274,100922,18141229,-9999,    9
   274,100922,18141230,-9999,    9
   274,100922,18141231,   66,    9
   274,100922,18150101,   49,    0
   274,100922,18150102,   26,    0
   274,100922,18150103,   21,    0
   274,100922,18150104,   10,    0
   274,100922,18150105,   15,    0
   274,100922,18150106,   -7,    0
   274,100922,18150107,   49,    0
   274,100922,18150108,   10,    0
   274,100922,18150109,   77,    0
   274,100922,18150110,   60,    0
   274,100922,18150111,   43,    0
   274,100922,18150112,   21,    0
   274,100922,18150113,   54,    0
   274,100922,18150114,   66,    0
   274,100922,18150115,   -2,    0
   274,100922,18150116,   38,    0
   274,100922,18150117,   26,    0
   274,100922,18150118,   26,    0
   274,100922,18150119,  -24,    0
   274,100922,18150120,   -2,    0
   274,100922,18150121,   10,    0
   274,100922,18150122,   15,    0
   274,100922,18150123,  -35,    0
   274,100922,18150124,   -7,    0
   274,100922,18150125,   -7,    0
   274,100922,18150126,   26,    0
   274,100922,18150127,   32,    0
   274,100922,18150128,   60,    0
   274,100922,18150129,   54,    0
   274,100922,18150130,   38,    0
   274,100922,18150131,   65,    0
   274,100922,18150201,   70,    0
   274,100922,18150202,   53,    0
   274,100922,18150203,   81,    0
   274,100922,18150204,   81,    0
   274,100922,18150205,   87,    0
   274,100922,18150206,   93,    0
   274,100922,18150207,   70,    0
   274,100922,18150208,   98,    0
   274,100922,18150209,   70,    0
   274,100922,18150210,   81,    0
   274,100922,18150211,   98,    0
   274,100922,18150212,   81,    0
   274,100922,18150213,   65,    0
   274,100922,18150214,   87,    0
   274,100922,18150215,  126,    0
   274,100922,18150216,   81,    0
   274,100922,18150217,   81,    0
   274,100922,18150218,   70,    0
   274,100922,18150219,   98,    0
   274,100922,18150220,   93,    0
   274,100922,18150221,  121,    0
   274,100922,18150222,  104,    0
   274,100922,18150223,  104,    0
   274,100922,18150224,  121,    0
   274,100922,18150225,  109,    0
   274,100922,18150226,   42,    0
   274,100922,18150227,   42,    0
   274,100922,18150228,   33,    0
   274,100922,18150301,   95,    0
   274,100922,18150302,   61,    0
   274,100922,18150303,   78,    0
   274,100922,18150304,  100,    0
   274,100922,18150305,  100,    0
   274,100922,18150306,   89,    0
   274,100922,18150307,  134,    0
   274,100922,18150308,   50,    0
   274,100922,18150309,   55,    0
   274,100922,18150310,   27,    0
   274,100922,18150311,   39,    0
   274,100922,18150312,   78,    0
   274,100922,18150313,   78,    0
   274,100922,18150314,   44,    0
   274,100922,18150315,  134,    0
   274,100922,18150316,  106,    0
   274,100922,18150317,   95,    0
   274,100922,18150318,  117,    0
   274,100922,18150319,  123,    0
   274,100922,18150320,  100,    0
   274,100922,18150321,  117,    0
   274,100922,18150322,  117,    0
   274,100922,18150323,   95,    0
   274,100922,18150324,  106,    0
   274,100922,18150325,   61,    0
   274,100922,18150326,  117,    0
   274,100922,18150327,  134,    0
   274,100922,18150328,  117,    0
   274,100922,18150329,  128,    0
   274,100922,18150330,  117,    0
   274,100922,18150331,  157,    0
   274,100922,18150401,  146,    0
   274,100922,18150402,  124,    0
   274,100922,18150403,   96,    0
   274,100922,18150404,   96,    0
   274,100922,18150405,  107,    0
   274,100922,18150406,  129,    0
   274,100922,18150407,  129,    0
   274,100922,18150408,  118,    0
   274,100922,18150409,   94,    0
   274,100922,18150410,  169,    0
   274,100922,18150411,  167,    0
   274,100922,18150412,  178,    0
   274,100922,18150413,   56,    0
   274,100922,18150414,   75,    0
   274,100922,18150415,  103,    0
   274,100922,18150416,   94,    0
   274,100922,18150417,  103,    0
   274,100922,18150418,  128,    0
   274,100922,18150419,  117,    0
   274,100922,18150420,   56,    0
   274,100922,18150421,   86,    0
