EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105790) of UNITED KINGDOM, YEOVILTON (STAID: 1812)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  1812,105790,19591201,-9999,    9
  1812,105790,19591202,-9999,    9
  1812,105790,19591203,-9999,    9
  1812,105790,19591204,-9999,    9
  1812,105790,19591205,-9999,    9
  1812,105790,19591206,-9999,    9
  1812,105790,19591207,-9999,    9
  1812,105790,19591208,-9999,    9
  1812,105790,19591209,-9999,    9
  1812,105790,19591210,-9999,    9
  1812,105790,19591211,-9999,    9
  1812,105790,19591212,-9999,    9
  1812,105790,19591213,-9999,    9
  1812,105790,19591214,-9999,    9
  1812,105790,19591215,-9999,    9
  1812,105790,19591216,-9999,    9
  1812,105790,19591217,-9999,    9
  1812,105790,19591218,-9999,    9
  1812,105790,19591219,-9999,    9
  1812,105790,19591220,-9999,    9
  1812,105790,19591221,-9999,    9
  1812,105790,19591222,-9999,    9
  1812,105790,19591223,-9999,    9
  1812,105790,19591224,-9999,    9
  1812,105790,19591225,-9999,    9
  1812,105790,19591226,-9999,    9
  1812,105790,19591227,-9999,    9
  1812,105790,19591228,-9999,    9
  1812,105790,19591229,-9999,    9
  1812,105790,19591230,-9999,    9
  1812,105790,19591231,-9999,    9
  1812,105790,19600101,-9999,    9
  1812,105790,19600102,-9999,    9
  1812,105790,19600103,-9999,    9
  1812,105790,19600104,-9999,    9
  1812,105790,19600105,-9999,    9
  1812,105790,19600106,-9999,    9
  1812,105790,19600107,-9999,    9
  1812,105790,19600108,-9999,    9
  1812,105790,19600109,-9999,    9
  1812,105790,19600110,-9999,    9
  1812,105790,19600111,-9999,    9
  1812,105790,19600112,-9999,    9
  1812,105790,19600113,-9999,    9
  1812,105790,19600114,-9999,    9
  1812,105790,19600115,-9999,    9
  1812,105790,19600116,-9999,    9
  1812,105790,19600117,-9999,    9
  1812,105790,19600118,-9999,    9
  1812,105790,19600119,-9999,    9
  1812,105790,19600120,-9999,    9
  1812,105790,19600121,-9999,    9
  1812,105790,19600122,-9999,    9
  1812,105790,19600123,-9999,    9
  1812,105790,19600124,-9999,    9
  1812,105790,19600125,-9999,    9
  1812,105790,19600126,-9999,    9
  1812,105790,19600127,-9999,    9
  1812,105790,19600128,-9999,    9
  1812,105790,19600129,-9999,    9
  1812,105790,19600130,-9999,    9
  1812,105790,19600131,-9999,    9
  1812,105790,19600201,-9999,    9
  1812,105790,19600202,-9999,    9
  1812,105790,19600203,-9999,    9
  1812,105790,19600204,-9999,    9
  1812,105790,19600205,-9999,    9
  1812,105790,19600206,-9999,    9
  1812,105790,19600207,-9999,    9
  1812,105790,19600208,-9999,    9
  1812,105790,19600209,-9999,    9
  1812,105790,19600210,-9999,    9
  1812,105790,19600211,-9999,    9
  1812,105790,19600212,-9999,    9
  1812,105790,19600213,-9999,    9
  1812,105790,19600214,-9999,    9
  1812,105790,19600215,-9999,    9
  1812,105790,19600216,-9999,    9
  1812,105790,19600217,-9999,    9
  1812,105790,19600218,-9999,    9
  1812,105790,19600219,-9999,    9
  1812,105790,19600220,-9999,    9
  1812,105790,19600221,-9999,    9
  1812,105790,19600222,-9999,    9
  1812,105790,19600223,-9999,    9
  1812,105790,19600224,-9999,    9
  1812,105790,19600225,-9999,    9
  1812,105790,19600226,-9999,    9
  1812,105790,19600227,-9999,    9
  1812,105790,19600228,-9999,    9
  1812,105790,19600229,-9999,    9
  1812,105790,19600301,-9999,    9
  1812,105790,19600302,-9999,    9
  1812,105790,19600303,-9999,    9
  1812,105790,19600304,-9999,    9
  1812,105790,19600305,-9999,    9
  1812,105790,19600306,-9999,    9
  1812,105790,19600307,-9999,    9
  1812,105790,19600308,-9999,    9
  1812,105790,19600309,-9999,    9
  1812,105790,19600310,-9999,    9
  1812,105790,19600311,-9999,    9
  1812,105790,19600312,-9999,    9
  1812,105790,19600313,-9999,    9
  1812,105790,19600314,-9999,    9
  1812,105790,19600315,-9999,    9
  1812,105790,19600316,-9999,    9
  1812,105790,19600317,-9999,    9
  1812,105790,19600318,-9999,    9
